2024-01-01 11:43:04,161 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 11:43:04,163 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 11:47:38,951 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 11:47:38,953 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 11:51:29,526 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 11:51:29,528 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 11:56:34,934 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 11:56:34,936 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:00:17,876 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:00:17,878 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:04:42,945 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:04:42,947 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:08:19,120 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:08:19,121 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:12:49,160 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:12:49,162 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:16:23,168 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:16:23,169 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:22:29,143 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:22:29,145 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:37:24,388 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-01-01 12:37:24,390 INFO pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
